fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,acidity_ratio,sulfur_ratio,alcohol_density,total_acidity,alcohol_squared,ph_alcohol,sulphates_alcohol,quality_binary
6.2,0.39,0.43,2.0,0.071,14.0,24.0,0.99428,3.45,0.87,11.2,15.856777493606138,0.5833090287904671,11.26443255421008,6.59,125.43999999999998,38.64,9.744,1
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,33.95638629283489,0.3863548555714643,11.530671586419876,11.22,132.25,37.72,8.855,1
7.1,0.685,0.35,2.0,0.088,9.0,92.0,0.9963,3.28,0.62,9.4,10.349854227405247,0.09782502364104738,9.434909163906454,7.785,88.36000000000001,30.832,5.828,0
7.5,0.57,0.02,2.6,0.077,11.0,35.0,0.99557,3.36,0.62,10.8,13.134851138353767,0.31427673495043,10.848056892031702,8.07,116.64000000000001,36.288000000000004,6.696000000000001,1
7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,12.978369384359402,0.23663941496629795,9.937563991889341,8.4,98.01,31.779,5.148000000000001,0
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,31.800766283524904,0.4073923188030073,9.424503709645078,8.56,88.36000000000001,30.174,7.5200000000000005,1
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,13.976705490848587,0.12612498986495616,9.835407466880772,9.0,96.04000000000002,30.87,6.468000000000001,0
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,7.588856868395774,0.4482604048136271,9.94075710412692,8.940000000000001,98.01,31.878000000000004,5.445,1
8.6,0.47,0.47,2.4,0.074,7.0,29.0,0.9979,3.08,0.46,9.5,18.259023354564757,0.24137098720733766,9.519991983164646,9.07,90.25,29.26,4.37,0
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,23.36182336182336,0.23403757366864536,11.044287593248928,8.549999999999999,121.0,35.97,8.91,1
7.3,0.91,0.1,1.8,0.074,20.0,56.0,0.99672,3.35,0.56,9.2,8.01317233809001,0.35713647970571955,9.23027530299382,8.209999999999999,84.63999999999999,30.819999999999997,5.152,0
8.0,0.28,0.44,1.8,0.081,28.0,68.0,0.99501,3.36,0.66,11.2,28.469750889679712,0.41175865060807926,11.256168279715782,8.28,125.43999999999998,37.632,7.3919999999999995,0
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,14.970059880239521,0.1666650326957579,10.52315093205051,8.0,110.25,35.175000000000004,8.4,0
9.9,0.35,0.55,2.1,0.062,5.0,14.0,0.9971,3.26,0.79,10.6,28.205128205128208,0.3571173487608028,10.630829405275298,10.25,112.36,34.556,8.374,0
9.3,0.27,0.41,2.0,0.091,6.0,16.0,0.998,3.28,0.7,9.7,34.31734317343174,0.37497656396475215,9.719438877755511,9.57,94.08999999999999,31.815999999999995,6.789999999999999,0
7.7,0.58,0.01,1.8,0.088,12.0,18.0,0.99568,3.32,0.56,10.5,13.253012048192772,0.6666296316871284,10.545556805399325,8.28,110.25,34.86,5.880000000000001,1
10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,20.366598778004075,0.25999480010399795,9.186220668996503,10.49,84.63999999999999,29.072,6.347999999999999,1
7.6,0.645,0.03,1.9,0.086,14.0,57.0,0.9969,3.37,0.46,10.3,11.76470588235294,0.24560972614515536,10.332029290801485,8.245,106.09000000000002,34.711000000000006,4.738,0
9.8,0.37,0.39,2.5,0.079,28.0,65.0,0.99729,3.16,0.59,9.8,26.415094339622645,0.4307626036522515,9.826630167754615,10.17,96.04000000000002,30.968000000000004,5.782,0
8.9,0.24,0.39,1.6,0.074,3.0,10.0,0.99698,3.12,0.59,9.5,36.92946058091287,0.29997000299970006,9.528776906256896,9.14,90.25,29.64,5.6049999999999995,1
9.9,0.32,0.56,2.0,0.073,3.0,8.0,0.99534,3.15,0.73,11.4,30.841121495327105,0.3749531308586427,11.45337271686057,10.22,129.96,35.91,8.322,1
9.8,0.88,0.25,2.5,0.104,35.0,155.0,1.001,3.41,0.67,11.2,11.12372304199773,0.2258049948064851,11.18881118881119,10.680000000000001,125.43999999999998,38.192,7.504,0
8.3,0.845,0.01,2.2,0.07,5.0,14.0,0.9967,3.32,0.58,11.0,9.810874704491727,0.3571173487608028,11.036420186615832,9.145000000000001,121.0,36.519999999999996,6.38,0
7.2,0.695,0.13,2.0,0.076,12.0,20.0,0.99546,3.29,0.54,10.1,10.344827586206897,0.599970001499925,10.14606312659474,7.8950000000000005,102.00999999999999,33.229,5.454,0
8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,19.06873614190687,0.41999160016799664,9.917852133840913,9.049999999999999,98.01,33.363,9.009,1
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,13.173652694610778,0.6538210068843505,9.84726688102894,7.1,96.04000000000002,33.32,5.684,1
7.4,0.36,0.29,2.6,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,20.498614958448755,0.36110609574867014,11.039189121380902,7.760000000000001,121.0,37.29,7.48,0
6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.99732,3.66,0.65,9.8,14.099783080260304,0.24323666927920867,9.826334576665465,6.96,96.04000000000002,35.868,6.370000000000001,0
9.8,0.3,0.39,1.7,0.062,3.0,9.0,0.9948,3.14,0.57,11.5,32.55813953488372,0.33329630041106545,11.56011258544431,10.100000000000001,132.25,36.11,6.555,1
6.1,0.64,0.02,2.4,0.069,26.0,46.0,0.99358,3.47,0.45,11.0,9.51638065522621,0.5652051042368644,11.07107630990962,6.739999999999999,121.0,38.17,4.95,0
7.1,0.715,0.0,2.35,0.071,21.0,47.0,0.99632,3.29,0.45,9.4,9.916201117318435,0.44679900427650476,9.434719768748996,7.8149999999999995,88.36000000000001,30.926000000000002,4.23,0
14.3,0.31,0.74,1.8,0.075,6.0,15.0,1.0008,2.86,0.79,8.4,45.98070739549839,0.3999733351109926,8.393285371702639,14.610000000000001,70.56,24.024,6.636000000000001,1
7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,9.646739130434783,0.19480266490045584,9.331727874774232,7.835,86.49000000000001,30.411,5.952000000000001,0
8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,11.756373937677056,0.4285561229956073,10.006003602161297,9.005,100.0,35.099999999999994,7.199999999999999,0
10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,22.394678492239468,0.555524693072607,9.321065608274703,10.549999999999999,86.49000000000001,29.946000000000005,6.045000000000001,1
8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,13.810316139767057,0.23683587274019105,9.837777063925474,8.9,96.04000000000002,30.87,5.194000000000001,0
7.7,0.6,0.06,2.0,0.079,19.0,41.0,0.99697,3.39,0.62,10.1,12.811980033277871,0.4634033316260579,10.130696008906988,8.3,102.00999999999999,34.239,6.262,1
10.0,0.38,0.38,1.6,0.169,27.0,90.0,0.99914,3.15,0.65,8.5,26.246719160104988,0.2999966667037033,8.50731629201113,10.38,72.25,26.775,5.525,0
6.4,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,7.223476297968397,0.49995833680526625,10.848710711092806,7.285,116.64000000000001,38.448,5.508000000000001,0
9.6,0.56,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,17.11229946524064,0.32607986782896026,10.02104419280489,10.16,100.0,31.099999999999998,9.200000000000001,1
10.5,0.36,0.47,2.2,0.074,9.0,23.0,0.99638,3.23,0.76,12.0,29.085872576177287,0.39128733533324633,12.043597824123326,10.86,144.0,38.76,9.120000000000001,1
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,10.671256454388985,0.4444197544580856,9.432069034718042,6.78,88.36000000000001,33.464,7.896,0
8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6,24.926686217008797,0.33329630041106545,11.630471836210871,8.84,134.56,39.208,7.656,1
5.0,0.42,0.24,2.0,0.06,19.0,50.0,0.9917,3.72,0.74,14.0,11.876484560570072,0.379992400151997,14.117172532015731,5.42,196.0,52.080000000000005,10.36,1
7.8,0.58,0.13,2.1,0.102,17.0,36.0,0.9944,3.24,0.53,11.2,13.425129087779691,0.4722091053026305,11.263073209975865,8.379999999999999,125.43999999999998,36.288,5.936,1
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,15.201192250372577,0.3529204164460914,10.024057738572573,10.87,100.0,31.7,4.699999999999999,0
9.5,0.55,0.66,2.3,0.387,12.0,37.0,0.9982,3.17,0.67,9.6,17.241379310344826,0.32431555903894493,9.617311160088159,10.05,92.16,30.432,6.432,0
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,10.597826086956522,0.24389649032950417,9.825546420693804,8.535,96.04000000000002,31.752000000000006,6.958,1
10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,20.79002079002079,0.4062373050842161,10.0,10.48,100.0,32.8,5.6000000000000005,1
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,19.437340153452684,0.3239390994493035,9.71749148467241,7.989999999999999,94.08999999999999,34.144,6.305,0
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,10.249671484888305,0.2777726338401141,9.829488465396189,8.56,96.04000000000002,31.948,6.370000000000001,0
11.2,0.4,0.5,2.0,0.099,19.0,50.0,0.99783,3.1,0.58,10.4,27.93017456359102,0.379992400151997,10.422617079061563,11.6,108.16000000000001,32.24,6.032,0
15.9,0.36,0.65,7.5,0.096,22.0,71.0,0.9976,2.98,0.84,14.9,44.04432132963989,0.30985479077759465,14.935846030473135,16.26,222.01000000000002,44.402,12.516,0
8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.99516,3.35,0.69,11.7,20.42755344418052,0.49995833680526625,11.756903412516579,9.02,136.89,39.195,8.072999999999999,1
7.6,0.51,0.24,2.4,0.091,8.0,38.0,0.998,3.47,0.66,9.6,14.872798434442268,0.21052077576905873,9.619238476953907,8.11,92.16,33.312,6.336,1
8.8,0.64,0.17,2.9,0.084,25.0,130.0,0.99818,3.23,0.54,9.6,13.72854914196568,0.19230621302913053,9.617503857019775,9.440000000000001,92.16,31.008,5.184,0
10.0,0.42,0.5,3.4,0.107,7.0,21.0,0.9979,3.26,0.93,11.8,23.752969121140143,0.3333174610732822,11.82483214750977,10.42,139.24,38.467999999999996,10.974000000000002,1
8.0,0.58,0.28,3.2,0.066,21.0,114.0,0.9973,3.22,0.54,9.4,13.769363166953529,0.18420891044815396,9.425448711521108,8.58,88.36000000000001,30.268000000000004,5.0760000000000005,1
8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7,44.19889502762431,0.33027219933762075,12.827375842112174,8.18,161.29,36.703,5.588,1
8.2,0.73,0.21,1.7,0.074,5.0,13.0,0.9968,3.2,0.52,9.5,11.217510259917919,0.3845858010922237,9.530497592295346,8.93,90.25,30.400000000000002,4.94,0
9.6,0.5,0.36,2.8,0.116,26.0,55.0,0.99722,3.18,0.68,10.9,19.161676646706585,0.47271867784222105,10.93038647439883,10.1,118.81,34.662000000000006,7.412000000000001,0
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,15.568862275449101,0.20588033450652443,9.538152610441767,8.3,90.25,32.205,4.56,0
11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.99704,3.07,0.65,10.0333333333333,24.369747899159663,0.21427806149780365,10.063120169033638,12.075,100.6677777777771,30.802333333333227,6.521666666666645,1
5.9,0.29,0.25,13.4,0.067,72.0,160.0,0.99721,3.33,0.54,10.3,20.27491408934708,0.449997187517578,10.328817400547528,6.19,106.09000000000002,34.29900000000001,5.562000000000001,1
6.7,0.86,0.07,2.0,0.1,20.0,57.0,0.99598,3.6,0.74,11.7,7.781649245063879,0.35087103735022196,11.74722383983614,7.5600000000000005,136.89,42.12,8.658,1
8.2,0.38,0.32,2.5,0.08,24.0,71.0,0.99624,3.27,0.85,11.0,21.522309711286088,0.33802340812101234,11.041516100538022,8.58,121.0,35.97,9.35,1
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,16.6270783847981,0.4102458911309967,9.236020479871499,7.42,84.63999999999999,30.727999999999998,5.06,0
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,15.568862275449101,0.3636198354620244,10.44281554372929,8.3,108.16000000000001,34.424,5.824000000000001,1
7.7,0.26,0.26,2.0,0.052,19.0,77.0,0.9951,3.15,0.79,10.9,29.50191570881226,0.24675004220724406,10.953672997688676,7.96,118.81,34.335,8.611,1
7.3,0.67,0.05,3.6,0.107,6.0,20.0,0.9972,3.4,0.63,10.1,10.879284649776451,0.2999850007499625,10.128359406337745,7.97,102.00999999999999,34.339999999999996,6.3629999999999995,0
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,10.488505747126437,0.2307514806553342,9.218436873747494,7.995,84.63999999999999,32.108,4.784,0
9.8,0.39,0.43,1.65,0.068,5.0,11.0,0.99478,3.19,0.46,11.4,25.06393861892583,0.4545041359876375,11.45982026176642,10.190000000000001,129.96,36.366,5.244000000000001,0
7.2,0.61,0.08,4.0,0.082,26.0,108.0,0.99641,3.25,0.51,9.4,11.783960720130933,0.24073851168044738,9.433867584628818,7.8100000000000005,88.36000000000001,30.55,4.7940000000000005,0
8.7,0.48,0.3,2.8,0.066,10.0,28.0,0.9964,3.33,0.67,11.2,18.087318087318085,0.3571301024963394,11.240465676435166,9.18,125.43999999999998,37.296,7.504,1
4.9,0.42,0.0,2.1,0.048,16.0,42.0,0.99154,3.71,0.74,14.0,11.63895486935867,0.38094331087355066,14.119450551667104,5.32,196.0,51.94,10.36,1
10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,3.18,0.77,9.0,18.853974121996302,0.5789412743023757,8.966912094371768,10.739999999999998,81.0,28.62,6.93,1
10.6,0.34,0.49,3.2,0.078,20.0,78.0,0.9992,3.19,0.7,10.0,31.085043988269792,0.25640696914142125,10.0080064051241,10.94,100.0,31.9,7.0,1
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,42.524916943521596,0.32141709224670545,10.806483890334201,13.100000000000001,116.64000000000001,34.56,8.316,1
6.5,0.53,0.06,2.0,0.063,29.0,44.0,0.99489,3.38,0.83,10.3,12.241054613935969,0.659075930092498,10.352903336047202,7.03,106.09000000000002,34.814,8.549,1
7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,17.633410672853827,0.28787442614505837,9.526865761447281,8.03,90.25,32.3,6.08,0
8.9,0.29,0.35,1.9,0.067,25.0,57.0,0.997,3.18,1.36,10.3,30.584192439862544,0.43858879668777745,10.330992978936811,9.19,106.09000000000002,32.754000000000005,14.008000000000003,1
7.4,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8,12.31281198003328,0.18681113394358304,9.837777063925474,8.0,96.04000000000002,32.242000000000004,5.488000000000001,1
6.1,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59,11.9,28.90995260663507,0.2454530578602554,12.005649717514125,6.31,141.61,38.675000000000004,7.021,1
12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,20.798668885191347,0.3571173487608028,11.88811188811189,13.1,141.61,38.675000000000004,8.806000000000001,1
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,31.271477663230243,0.48146364949446313,11.756903412516579,9.389999999999999,136.89,38.141999999999996,9.828,1
9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,11.4321608040201,0.42306065151340333,9.40564338603162,9.895,88.36000000000001,31.490000000000002,7.802,1
6.0,0.51,0.0,2.1,0.064,40.0,54.0,0.995,3.54,0.93,10.7,11.741682974559687,0.7407270235736375,10.753768844221105,6.51,114.48999999999998,37.878,9.951,1
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,9.84952120383037,0.38094331087355066,9.326113116726836,7.93,86.49000000000001,31.992,4.836,0
9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,16.07445008460237,0.30881898795605944,9.507606084867895,10.09,90.25,32.87,5.985,0
9.8,0.34,0.39,1.4,0.066,3.0,7.0,0.9947,3.19,0.55,11.4,28.73900293255132,0.428510212826739,11.460741932240877,10.14,129.96,36.366,6.2700000000000005,1
8.7,0.78,0.51,1.7,0.415,12.0,66.0,0.99623,3.0,1.17,9.2,11.13956466069142,0.18181542703898423,9.234815253505717,9.479999999999999,84.63999999999999,27.599999999999998,10.764,0
9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,16.07445008460237,0.30881898795605944,9.507606084867895,10.09,90.25,32.87,5.985,0
11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,16.69150521609538,0.4615029613106684,9.5,11.87,90.25,30.115,6.744999999999999,1
8.6,0.47,0.27,2.3,0.055,14.0,28.0,0.99516,3.18,0.8,11.2,18.259023354564757,0.4999821434948752,11.254471642750913,9.07,125.43999999999998,35.616,8.959999999999999,0
7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,9.3,13.660245183887916,0.21666486112615727,9.335006273525723,8.37,86.49000000000001,30.597,4.929,0
8.3,0.66,0.15,1.9,0.079,17.0,42.0,0.9972,3.31,0.54,9.6,12.556732223903177,0.40475226780314755,9.626955475330927,8.96,92.16,31.776,5.184,1
10.7,0.52,0.38,2.6,0.066,29.0,56.0,0.99577,3.15,0.79,12.1,20.53742802303263,0.5178478955732934,12.151400423792643,11.219999999999999,146.41,38.114999999999995,9.559,1
8.8,0.955,0.05,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,9.205020920502093,0.2631440450502605,9.637006103437198,9.755,92.16,31.679999999999996,4.224,0
7.6,0.715,0.0,2.1,0.068,30.0,35.0,0.99533,3.48,0.65,11.4,10.614525139664805,0.8571183680466273,11.453487787969818,8.315,129.96,39.672000000000004,7.41,1
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,16.751269035532996,0.45069787749468315,9.79853022046693,10.49,96.04000000000002,32.438,6.958,0
8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,0.52,9.4,16.506717850287906,0.2777623465363035,9.431501214054943,9.12,88.36000000000001,30.080000000000002,4.888000000000001,0
10.4,0.38,0.46,2.1,0.104,6.0,10.0,0.99664,3.12,0.65,11.8,27.296587926509186,0.5999400059994001,11.839781666399102,10.780000000000001,139.24,36.816,7.670000000000001,1
6.0,0.54,0.06,1.8,0.05,38.0,89.0,0.99236,3.3,0.5,10.55,11.090573012939002,0.426961494814665,10.631222540207183,6.54,111.30250000000001,34.815,5.275,1
6.4,0.64,0.21,1.8,0.081,14.0,31.0,0.99689,3.59,0.66,9.8,9.98439937597504,0.4515983355375633,9.830573082285909,7.04,96.04000000000002,35.182,6.468000000000001,0
7.5,0.58,0.03,4.1,0.08,27.0,46.0,0.99592,3.02,0.47,9.2,12.908777969018933,0.5869437620921285,9.237689774279058,8.08,84.63999999999999,27.784,4.324,0
7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,14.232902033271719,0.1564615206699274,9.735436990645951,8.24,94.08999999999999,31.621999999999996,5.722999999999999,0
8.4,1.035,0.15,6.0,0.073,11.0,54.0,0.999,3.37,0.49,9.9,8.10810810810811,0.20369993148275034,9.90990990990991,9.435,98.01,33.363,4.851,0
8.4,0.56,0.04,2.0,0.082,10.0,22.0,0.9976,3.22,0.44,9.6,14.973262032085561,0.45452479432753057,9.62309542902967,8.96,92.16,30.912,4.224,0
7.3,0.51,0.18,2.1,0.07,12.0,28.0,0.99768,3.52,0.73,9.5,14.285714285714285,0.4285561229956073,9.522091251703953,7.81,90.25,33.44,6.935,1
6.4,0.57,0.14,3.9,0.07,27.0,73.0,0.99669,3.32,0.48,9.2,11.208406304728548,0.36985794715140885,9.230553130863157,6.970000000000001,84.63999999999999,30.543999999999997,4.4159999999999995,0
8.8,0.3,0.38,2.3,0.06,19.0,72.0,0.99543,3.39,0.72,11.8,29.2358803986711,0.2638852238163359,11.85417357322966,9.100000000000001,139.24,40.002,8.496,1
15.6,0.685,0.76,3.7,0.1,6.0,43.0,1.0032,2.95,0.68,11.2,22.740524781341104,0.1395316387990977,11.164274322169057,16.285,125.43999999999998,33.04,7.616,1
7.1,0.46,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,15.401301518438176,0.5185089165015463,10.445962233828848,7.56,108.16000000000001,35.048,6.656000000000001,1
8.8,0.37,0.48,2.1,0.097,39.0,145.0,0.9975,3.04,1.03,9.3,23.71967654986523,0.2689636623195702,9.323308270676693,9.17,86.49000000000001,28.272000000000002,9.579,0
7.4,0.74,0.07,1.7,0.086,15.0,48.0,0.99502,3.12,0.48,10.0,9.98650472334683,0.3124934897189642,10.050049245241302,8.14,100.0,31.200000000000003,4.8,0
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,6.816059757236228,0.11235828810912236,9.034330455731782,8.37,81.0,29.7,5.13,0
5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,10.810810810810812,0.1792435920415845,12.289714918908027,5.68,148.83999999999997,43.187999999999995,7.563999999999999,1
9.0,0.4,0.41,2.0,0.058,15.0,40.0,0.99414,3.22,0.6,12.2,22.443890274314214,0.37499062523436916,12.271913412597822,9.4,148.83999999999997,39.284,7.319999999999999,1
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,11.213517665130567,0.7142517022998904,10.054293183189221,7.95,100.0,33.9,4.699999999999999,1
6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,3.16,0.57,11.3,15.914489311163896,0.16216106647928055,11.359067149175715,7.12,127.69000000000001,35.708000000000006,6.441,1
7.9,0.29,0.49,2.2,0.096,21.0,59.0,0.99714,3.31,0.67,10.1,27.147766323024058,0.35592617074286875,10.128968850913612,8.19,102.00999999999999,33.431,6.767,1
11.9,0.57,0.5,2.6,0.082,6.0,32.0,1.0006,3.12,0.78,10.7,20.84063047285464,0.18749414080809976,10.693583849690185,12.47,114.48999999999998,33.384,8.346,1
9.5,0.885,0.27,2.3,0.084,31.0,145.0,0.9978,3.24,0.53,9.4,10.72234762979684,0.2137916290232481,9.420725596311886,10.385,88.36000000000001,30.456000000000003,4.982,0
7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.99633,3.32,0.7,11.0,12.048192771084338,0.17391052303589802,11.040518703642366,7.58,121.0,36.519999999999996,7.699999999999999,1
12.7,0.59,0.45,2.3,0.082,11.0,22.0,1.0,3.0,0.7,9.3,21.489001692047378,0.4999772737602836,9.3,13.29,86.49000000000001,27.900000000000002,6.51,1
7.0,0.57,0.0,2.0,0.19,12.0,45.0,0.99676,3.31,0.6,9.4,12.259194395796849,0.2666607408724251,9.43055499819415,7.57,88.36000000000001,31.114,5.64,1
6.8,0.81,0.05,2.0,0.07,6.0,14.0,0.99562,3.51,0.66,10.8,8.384710234278668,0.4285408185129634,10.84751210301119,7.609999999999999,116.64000000000001,37.908,7.128000000000001,1
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,11.3314447592068,0.4210304720804168,10.540052198353745,8.705,110.25,35.07,9.975,1
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,8.967391304347826,0.5483826743332715,9.905943566139685,7.335,98.01,34.353,5.247000000000001,0
8.2,0.59,0.0,2.5,0.093,19.0,58.0,1.0002,3.5,0.65,9.3,13.874788494077833,0.32758055895588006,9.298140371925616,8.79,86.49000000000001,32.550000000000004,6.045000000000001,1
6.4,0.42,0.09,2.3,0.054,34.0,64.0,0.99724,3.41,0.68,10.4,15.201900237529692,0.5312416993484477,10.42878344230075,6.82,108.16000000000001,35.464000000000006,7.072000000000001,1
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,32.93269230769231,0.39533964326411014,9.986019572598362,14.114999999999998,100.0,30.6,8.0,1
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,29.896907216494846,0.32431555903894493,9.529541578894573,8.989999999999998,90.25,30.875,5.51,0
9.1,0.34,0.42,1.8,0.058,9.0,18.0,0.99392,3.18,0.55,11.4,26.68621700879765,0.49997222376534634,11.46973599484868,9.44,129.96,36.252,6.2700000000000005,0
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,13.258785942492015,0.22688884967353215,9.125551544324107,8.925,82.80999999999999,28.756,10.192,0
6.6,0.895,0.04,2.3,0.068,7.0,13.0,0.99582,3.53,0.58,10.8,7.366071428571428,0.5384201215291131,10.84533349400494,7.494999999999999,116.64000000000001,38.124,6.264,1
